country,gender,record_count,average_age_of_death
" Baptist clergyman""",""""" (1603–1663)",1,1663.0
" Criminal and Writer who was considered an Australian version of """"Rambo"""".""", KNLA Rebel,1,2013.0
 Ont c 1807; d at Rama Reserve,""""" Methodist missionary (b near present-day Belleville",1,
" addiction researcher""", journalist,1,1870.0
" and Nationality"""" to united many ethnicities (1786-1855)""", Autocracy,1,1855.0
" and country sportsman (1905-1990)""", illustrator,1,1990.0
" brown hair (1915-1972)""",170 lbs.,1,1972.0
 explorer, fur trader,1,1774.0
 farm leader (b near Sheffield,""""" farmer",1,
 literary critic, essayist,1,1851.0
 mining engineer,""""" soldier",1,
" playwright and shoemaker""", poet,1,1576.0
 professor (b at Londesborough,""""" chemist",1,
 trade-union leader (b at Aylmer,""""" printer",1,
" un maître contemporain"""""""," PhD on """"Swâmi Prajn̂anpad",1,2015.0
 writer, a well known martial artist,1,1926.0
Abbasid Caliphate,Male,2,56.0
Abbasid Caliphate; Umayyad Caliphate,Male,1,37.0
Afghan,Male,1,57.0
Afghanistan,Female,3,40.0
Afghanistan,Male,23,53.130434782608695
Afghanistan; Kingdom of Afghanistan; Republic of Afghanistan,Male,1,69.0
Al-Andalus,Male,1,18.0
Albania,Female,3,40.0
Albania,Male,20,52.85
Albania; Kosovo,Male,1,63.0
Albania; Ottoman Empire,Male,4,66.0
Algeria,Male,25,50.92
Algeria; Kingdom of Iraq; Republic of Iraq (1958–68),Male,1,51.0
Allemang,Female,1,26.0
Americana,Female,1,43.0
Americans,Female,4,77.25
Americans,Male,5,67.2
Ancient Egypt,Female,2,32.5
Ancient Egypt,Male,1,55.0
Andorra,Female,1,58.0
Angola,Female,1,71.0
Angola,Male,8,59.875
Antigua and Barbuda,Male,2,71.0
Archduchy of Austria,Male,1,73.0
Argentina,Female,71,58.070422535211264
Argentina,Male,292,62.1541095890411
"Argentina; Austria-Hungary; Independent State of Croatia; Kingdom of Yugoslavia; Francoist Spain; Kingdom of Serbs, Croats and Slovenes",Male,1,70.0
Argentina; Colombia,Female,1,78.0
Argentina; Ecuador,Female,1,87.0
Argentina; Russian Empire,Male,1,65.0
Argentina; United Kingdom of Great Britain and Ireland,Male,1,56.0
Armenia,Male,6,42.5
Armenia; Soviet Union,Male,12,58.166666666666664
Armenia; Soviet Union; Artsakh,Male,1,46.0
Armenia; Soviet Union; First Republic of Armenia,Female,1,87.0
Aruba,Male,1,60.0
Australia,Female,170,61.28235294117647
Australia,Male,739,59.700947225981054
Australia; India,Male,1,44.0
Australia; Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Male,2,54.0
Australia; Kingdom of the Netherlands,Male,1,76.0
Australia; New Zealand,Female,5,60.4
Australia; New Zealand,Male,10,64.8
Australia; Soviet Union,Female,1,82.0
Australia; Trinidad and Tobago,Male,1,81.0
Australia; United Kingdom of Great Britain and Ireland,Female,1,49.0
Australia; United Kingdom of Great Britain and Ireland,Male,63,67.52380952380952
Austria,Female,59,53.45762711864407
Austria,Male,258,55.86046511627907
Austria-Hungary,Female,4,32.0
Austria-Hungary,Male,48,46.75
Austria-Hungary; Austrian Empire,Female,2,46.5
Austria-Hungary; Austrian Empire,Male,13,58.23076923076923
Austria-Hungary; Austrian Empire; Kingdom of Bavaria,Female,1,61.0
Austria-Hungary; Austrian Empire; Republic of German-Austria; First Republic of Austria,Male,1,77.0
Austria-Hungary; Czechoslovakia,Female,5,66.6
Austria-Hungary; Czechoslovakia,Male,19,52.73684210526316
Austria-Hungary; Czechoslovakia; Slovak State (1939-1945),Male,1,60.0
Austria-Hungary; Hungarian Soviet Republic; First Hungarian Republic,Male,1,27.0
Austria-Hungary; Kingdom of Bohemia,Male,1,63.0
Austria-Hungary; Kingdom of Italy,Male,4,41.25
Austria-Hungary; Kingdom of Yugoslavia,Female,1,64.0
Austria-Hungary; Kingdom of Yugoslavia,Male,3,55.0
"Austria-Hungary; Kingdom of Yugoslavia; Austro-Hungarian rule in Bosnia and Herzegovina; Kingdom of Serbs, Croats and Slovenes",Male,1,33.0
Austria-Hungary; Kingdom of Yugoslavia; Democratic Federal Yugoslavia,Male,1,54.0
Austria-Hungary; People's Republic of Poland,Male,1,73.0
Austria-Hungary; Second Polish Republic,Female,1,54.0
Austria-Hungary; Second Polish Republic,Male,4,48.0
"Austria-Hungary; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; Kingdom of Serbs, Croats and Slovenes",Male,1,69.0
"Austria-Hungary; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; State of Slovenes, Croats and Serbs; Democratic Federal Yugoslavia; Federal People's Republic of Yugoslavia; Kingdom of Serbs, Croats and Slovenes",Male,1,69.0
Austria-Hungary; Yugoslavia,Female,1,61.0
Austria-Hungary; Yugoslavia,Male,2,44.5
Austria; Australia,Male,1,83.0
Austria; Austria-Hungary,Female,3,55.333333333333336
Austria; Austria-Hungary,Male,3,57.333333333333336
Austria; Austria-Hungary; Austrian Empire,Male,1,73.0
Austria; Austria-Hungary; Federal State of Austria; Republic of German-Austria; First Republic of Austria,Male,1,50.0
Austria; Austria; United Kingdom; Austria-Hungary; Czechoslovakia; United Kingdom of Great Britain and Ireland,Male,1,94.0
Austria; Austrian Empire,Male,1,46.0
Austria; Chile,Female,1,77.0
Austria; Croatia; Yugoslavia,Female,1,67.0
Austria; Czechoslovakia,Male,1,48.0
Austria; Egypt,Male,1,33.0
Austria; Ethiopia,Male,1,86.0
Austria; France,Female,1,48.0
Austria; France,Male,2,62.0
Austria; German Democratic Republic; Weimar Republic; German Empire,Male,1,58.0
Austria; German Reich,Male,1,43.0
Austria; Germany,Female,2,72.0
Austria; Germany,Male,16,61.0625
Austria; Germany; Austria-Hungary,Male,1,51.0
Austria; Israel,Male,1,93.0
Austria; Kingdom of Italy,Male,1,36.0
Austria; Kingdom of the Netherlands,Male,1,53.0
Austria; Liechtenstein,Female,1,68.0
Austria; Nazi Germany,Female,2,49.0
Austria; Nazi Germany,Male,3,56.333333333333336
Austria; Nazi Germany; Austria-Hungary,Male,4,49.5
Austria; Nazi Germany; Austria-Hungary; Federal State of Austria; Republic of German-Austria; First Republic of Austria,Female,2,65.0
Austria; Nazi Germany; Austria-Hungary; Kingdom of Hungary; West Germany,Female,1,91.0
Austria; Nazi Germany; Federal State of Austria; First Republic of Austria,Male,1,72.0
Austria; Nazi Germany; Federal State of Austria; Republic of German-Austria; First Republic of Austria,Male,1,89.0
Austria; Nazi Germany; Soviet Union; Austria-Hungary; Ukrainian People's Republic; West Ukrainian People's Republic,Male,1,53.0
Austria; Nazi Germany; Weimar Republic,Male,1,56.0
Austria; New Zealand,Male,1,82.0
Austria; Russia; Soviet Union,Male,1,55.0
Austria; Slovakia,Female,1,54.0
Austria; Slovakia,Male,1,52.0
Austria; Soviet Union,Female,1,44.0
Austria; United Kingdom,Female,3,70.0
Austria; United Kingdom,Male,4,62.75
Austria; United Kingdom; Germany,Male,1,50.0
Austria; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,88.0
Austrian Empire,Female,1,29.0
Austrian Empire,Male,20,45.65
Austrian Empire; Illyrian Provinces,Male,1,49.0
Austrian Empire; Kingdom of Hungary; Principality of Transylvania,Male,1,53.0
Austrian Empire; Second Mexican Empire,Male,1,35.0
Azerbaijan,Female,1,59.0
Azerbaijan,Male,6,55.5
Azerbaijan; Armenia,Male,1,56.0
Azerbaijan; Iran; Soviet Union,Male,1,55.0
Azerbaijan; Soviet Union,Female,2,63.0
Azerbaijan; Soviet Union,Male,8,64.125
Aztec Empire,Male,1,30.0
Bactria,Female,1,37.0
Bahamas,Male,5,59.2
Bahrain,Male,5,47.4
Bangladesh,Male,1,56.0
Barbados,Male,9,56.666666666666664
Belarus,Female,4,34.5
Belarus,Male,6,41.0
Belarus; Soviet Union,Female,1,38.0
Belarus; Soviet Union,Male,4,52.25
Belgium,Female,30,52.93333333333333
Belgium,Male,242,54.87190082644628
Belgium,Transgender Female,1,45.0
Belgium; Brazil,Male,1,26.0
Belgium; Democratic Republic of the Congo; Belgian Congo,Male,1,36.0
Belgium; France,Female,2,58.0
Belgium; France,Male,6,60.333333333333336
Belgium; Germany,Male,1,41.0
Belgium; Kingdom of the Netherlands,Male,3,62.333333333333336
Belgium; Mexico,Male,1,69.0
Belgium; Morocco,Male,1,28.0
Belgium; South Africa,Male,1,87.0
Belgium; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,70.0
Belize,Male,3,55.666666666666664
Benin,Male,1,65.0
Bermuda,Male,2,66.5
Bhutan,Male,2,44.0
Bohemia,Male,1,62.0
Bolivia,Male,28,56.67857142857143
Bolivia; Viceroyalty of the Río de la Plata,Male,1,39.0
Bosnia and Herzegovina,Male,18,50.22222222222222
Bosnia and Herzegovina; Serbia,Male,1,51.0
Bosnia and Herzegovina; Socialist Federal Republic of Yugoslavia,Male,1,30.0
Bosnia and Herzegovina; Socialist Federal Republic of Yugoslavia; Independent State of Croatia,Male,1,72.0
Bosnia and Herzegovina; Socialist Federal Republic of Yugoslavia; Republic of Bosnia and Herzegovina,Female,1,40.0
Botswana,Female,1,79.0
Botswana,Male,1,78.0
Brazil,Female,68,56.64705882352941
Brazil,Male,332,60.32831325301205
Brazil,Transgender Female,1,26.0
Brazil,Transgender Male,2,44.0
Brazil; Argentina,Male,1,47.0
Brazil; Czech Republic,Male,1,71.0
Brazil; Equatorial Guinea,Male,1,33.0
Brazil; Germany,Female,1,34.0
Brazil; Germany,Male,1,53.0
Brazil; Kingdom of Yugoslavia,Male,1,87.0
Brazil; Serbia,Male,1,38.0
British Empire,Male,1,42.0
British Empire; Kingdom of Great Britain,Male,1,42.0
British Hong Kong,Female,2,33.0
British Hong Kong,Male,5,56.4
British North America,Male,2,44.5
British Raj,Female,1,37.0
British Raj,Male,12,36.666666666666664
British Raj; Dominion of India,Male,1,79.0
British Raj; United Kingdom of Great Britain and Ireland,Female,1,39.0
British West Indies,Female,1,55.0
British people,Female,1,80.0
British people,Male,1,42.0
Brunei,Male,1,35.0
Bulgaria,Female,14,53.357142857142854
Bulgaria,Male,99,51.62626262626262
Bulgaria; Australia,Male,1,44.0
Bulgaria; Kingdom of Bulgaria,Male,3,49.666666666666664
Bulgaria; Ottoman Empire,Male,4,48.0
Bulgaria; People's Republic of Bulgaria,Male,1,56.0
Bulgaria; People's Republic of Bulgaria; Kingdom of Bulgaria,Male,1,87.0
Burkina Faso,Male,3,52.333333333333336
Burkina Faso; Republic of Upper Volta,Male,1,38.0
Burundi,Female,1,52.0
Burundi,Male,7,42.714285714285715
Byelorussian Soviet Socialist Republic,Male,1,54.0
Byelorussian Soviet Socialist Republic; Russian Empire,Male,1,45.0
Byelorussian Soviet Socialist Republic; Russian Empire; Second Polish Republic; Republic of Central Lithuania; Belarusian People's Republic,Male,1,45.0
Byelorussian Soviet Socialist Republic; Soviet Union; Russian Empire,Male,3,44.666666666666664
Byzantine Empire,Female,4,37.0
Byzantine Empire,Male,34,48.088235294117645
Byzantine Empire; Crown of Aragón,Male,1,38.0
Byzantine Empire; Empire of Trebizond,Male,1,23.0
Byzantine Empire; ancient Rome,Male,1,24.0
Cambodia,Female,1,77.0
Cambodia,Male,5,59.2
Cameroon,Female,2,65.0
Cameroon,Male,11,43.09090909090909
Canada,Female,211,58.985781990521325
Canada,Male,1084,62.79335793357934
Canada East,Male,2,71.5
Canada; Cuba,Male,1,52.0
Canada; Czech Republic,Male,2,85.0
Canada; Czechoslovakia,Male,3,88.33333333333333
Canada; Denmark,Male,1,76.0
Canada; France,Female,1,31.0
Canada; France,Male,3,62.0
Canada; Germany,Female,1,84.0
Canada; Germany,Male,3,67.0
Canada; Greece,Male,2,80.0
Canada; Hong Kong,Female,1,63.0
Canada; Hungary,Male,2,81.0
Canada; India; British Raj,Male,1,76.0
Canada; Iran,Female,1,55.0
Canada; Italy,Male,1,63.0
Canada; Jamaica,Male,1,52.0
Canada; Nazi Germany; German Empire; West Germany,Male,1,75.0
Canada; New Zealand,Male,1,79.0
Canada; Nigeria,Male,1,48.0
Canada; Philippines,Female,1,76.0
Canada; Poland,Female,1,60.0
Canada; Poland,Male,2,86.0
Canada; Russian Empire,Male,1,76.0
Canada; Somalia,Female,1,43.0
Canada; Soviet Union,Male,1,74.0
Canada; Taiwan,Male,1,35.0
Canada; United Kingdom,Female,3,72.33333333333333
Canada; United Kingdom,Male,2,74.0
Canada; United Kingdom of Great Britain and Ireland,Male,3,42.666666666666664
Canada; United Kingdom of Great Britain and Ireland; Province of Canada; Lower Canada,Male,1,43.0
Canada; United Kingdom; United Kingdom of Great Britain and Ireland,Male,3,67.33333333333333
Canada; United States of America,Female,21,75.85714285714286
Canada; United States of America,Male,38,76.57894736842105
Canada; United States of America; Guyana,Male,1,57.0
Canada; Wales,Male,2,65.5
Canada; Wales; United States of America; United Kingdom,Male,1,86.0
Canadians,Female,1,80.0
Canadians,Male,1,69.0
Canadá,Male,1,53.0
Cao Wei,Male,2,66.5
Cao Wei; Eastern Han Dynasty,Female,1,38.0
Cao Wei; Eastern Han Dynasty,Male,2,61.5
Cape Verde,Female,2,82.5
Carthage,Male,1,64.0
Catalan,Male,1,28.0
Central African Republic,Male,3,72.33333333333333
Chad,Male,5,43.2
Chechen Republic,Female,1,55.0
Chile,Female,24,63.333333333333336
Chile,Male,119,59.50420168067227
Chile,Transgender Female,1,62.0
Chile; Nazi Germany; German Democratic Republic; Weimar Republic,Female,1,89.0
Chile; Soviet Union,Male,1,70.0
China,Eunuch; Male,1,71.0
China,Female,7,32.857142857142854
China,Male,71,51.33802816901409
China; Cao Wei,Male,1,19.0
China; Former Yan,Male,1,51.0
China; Republic of China (1912–1949),Male,2,56.5
China; Western Han Dynasty,Male,1,35.0
China; Western Jin dynasty,Male,1,68.0
Classical Athens,Male,3,56.666666666666664
Classical Athens; Ancient Carthage,Male,1,77.0
Colombia,Female,17,53.705882352941174
Colombia,Male,116,58.51724137931034
Colombia; Colombia,Male,1,56.0
Colombiana,Male,1,61.0
Colonial Brazil,Male,1,46.0
Colony of New Zealand,Male,1,44.0
Commonwealth of the Philippines,Male,2,33.0
Comoros,Male,1,41.0
Confederate States of America,Male,1,56.0
Confederation of the Rhine,Female,1,42.0
Costa Rica,Female,2,65.0
Costa Rica,Male,23,54.30434782608695
County of Cilli,Female,1,45.0
County of Flanders,Female,1,35.0
County of Flanders,Male,1,46.0
County of Holland,Male,1,27.0
Croatia,Female,5,47.6
Croatia,Male,65,55.93846153846154
Croatia; Bosnia and Herzegovina,Male,1,53.0
Croatia; Kingdom of Hungary,Male,1,44.0
Croatia; Kingdom of Italy,Male,1,49.0
Croatia; Socialist Federal Republic of Yugoslavia,Female,1,72.0
Croatia; Socialist Federal Republic of Yugoslavia,Male,3,63.0
Croatia; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia,Male,2,78.5
"Croatia; Socialist Federal Republic of Yugoslavia; Kingdom of Yugoslavia; Kingdom of Serbs, Croats and Slovenes",Male,1,77.0
Croatia; Yugoslavia,Female,1,72.0
Croatia; Yugoslavia,Male,1,47.0
Croatia; Yugoslavia; Socialist Federal Republic of Yugoslavia,Male,1,29.0
Crown of Aragón,Male,1,79.0
Crown of Castile,Female,3,38.0
Crown of Castile,Male,14,47.357142857142854
Crown of the Kingdom of Poland; Polish–Lithuanian Commonwealth,Male,1,54.0
Cuba,Female,15,60.46666666666667
Cuba,Male,80,62.4375
Cuba; Argentina,Female,1,84.0
Cuba; Argentina,Male,1,39.0
Czech Republic,Female,13,58.76923076923077
Czech Republic,Male,138,53.492753623188406
Czech Republic; Austria-Hungary,Male,1,63.0
Czech Republic; Austria-Hungary; Czechoslovakia,Female,1,81.0
Czech Republic; Austrian Empire,Male,1,82.0
Czech Republic; Czechoslovakia,Female,5,68.8
Czech Republic; Czechoslovakia,Male,24,60.958333333333336
Czech Republic; Kingdom of Bohemia; Austrian Empire,Male,1,65.0
Czechoslovakia,Female,14,44.357142857142854
Czechoslovakia,Male,74,47.945945945945944
Czechoslovakia; Austrian Empire,Male,1,74.0
Democratic Republic of the Congo,Female,2,37.5
Democratic Republic of the Congo,Male,16,57.8125
Democratic Republic of the Congo; Zaire,Male,1,56.0
Denmark,Female,26,47.5
Denmark,Male,122,55.17213114754098
Denmark,Transgender Female,1,49.0
Denmark-Norway,Male,1,30.0
Denmark; Australia; United Kingdom of Great Britain and Ireland,Male,1,77.0
Denmark; France,Male,1,84.0
Denmark; Germany,Female,1,33.0
Denmark; Germany,Male,2,59.0
Denmark; Greece,Male,1,68.0
Denmark; Kingdom of Prussia,Male,1,35.0
Denmark; Russian Empire,Male,1,49.0
Djibouti,Male,1,39.0
Dominica,Male,15,50.333333333333336
Dominican Republic,Female,6,55.666666666666664
Dominican Republic,Male,32,61.90625
Duchy of Brabant,Female,1,20.0
Duchy of Brittany,Male,1,42.0
Duchy of Ferrara,Female,1,35.0
Duchy of Holstein,Male,1,53.0
Duchy of Lorraine,Male,1,43.0
Duchy of Lucca; Duchy of Parma,Male,1,31.0
Duchy of Milan,Male,4,46.0
Duchy of Modena and Reggio,Male,1,33.0
Duchy of Württemberg,Male,1,46.0
Dutch Republic,Female,1,30.0
Dutch Republic,Male,11,45.45454545454545
Dutch Republic; Habsburg Netherlands,Male,1,36.0
Dutch people,Male,1,53.0
East Timor,Male,3,46.666666666666664
Eastern Han Dynasty,Eunuch; Male,1,89.0
Eastern Han Dynasty,Female,1,14.0
Eastern Han Dynasty,Male,21,44.904761904761905
Eastern Wei,Male,1,28.0
Eastern Wu,Male,1,29.0
Ecuador,Female,6,50.666666666666664
Ecuador,Male,32,64.125
Ecuador; Cacha,Male,1,27.0
Ecuador; Colombia,Female,1,20.0
Ecuador; Colombia,Male,4,48.25
Egypt,Female,10,60.2
Egypt,Male,65,64.06153846153846
Egypt; Australia,Male,1,73.0
Egypt; France,Female,2,56.0
Egypt; France,Male,2,65.5
Egypt; Germany,Male,1,93.0
Egypt; Israel,Male,1,41.0
Egypt; Malaysia,Male,1,70.0
Egypt; United Arab Republic; Republic of Egypt,Male,1,67.0
Egypt; United Kingdom,Male,1,42.0
El Salvador,Female,3,56.333333333333336
El Salvador,Male,28,50.25
El Salvador; Nicaragua,Male,1,41.0
Electorate of Baden,Male,1,74.0
Electorate of Saxony,Female,1,53.0
Electorate of Saxony,Male,2,39.0
Empire of Brazil,Male,1,21.0
Empire of Japan,Male,2,54.0
England,Female,9,53.111111111111114
England,Male,26,51.34615384615385
England; Kingdom of Great Britain,Male,1,48.0
England; United Kingdom,Male,5,63.2
England; United Kingdom of Great Britain and Ireland,Male,1,67.0
England; United Kingdom; Kingdom of England,Male,1,39.0
England; United Kingdom; United Kingdom of Great Britain and Ireland,Male,1,77.0
English people,Female,2,66.5
English people,Male,1,83.0
Epirus,Male,1,46.0
Equatorial Guinea,Female,1,61.0
Equatorial Guinea,Male,2,53.0
Eritrea,Female,1,73.0
Eritrea,Male,3,46.333333333333336
España,Male,1,52.0
Estonia,Female,1,23.0
Estonia,Male,28,51.214285714285715
Estonia; Israel,Male,1,49.0
Estonia; Russian Empire,Male,2,52.5
Estonia; Russian Soviet Federative Socialist Republic; Russian Empire,Male,1,34.0
Estonia; Soviet Union,Female,2,42.5
Estonia; Soviet Union,Male,8,53.625
Estonia; Soviet Union; Russian Empire,Male,4,60.25
Eswatini,Female,1,21.0
Ethiopia,Male,7,55.857142857142854
Ethiopia; Eritrea,Male,1,39.0
Fatimid caliphate,Male,1,31.0
Federated States of Micronesia,Male,1,72.0
Fiji,Male,2,47.5
Finland,Female,31,53.645161290322584
Finland,Male,149,51.624161073825505
Finland; Argentina,Female,1,70.0
Finland; Russian Empire,Female,2,27.5
Finland; Russian Empire,Male,3,55.333333333333336
Finland; Soviet Union,Male,2,50.0
Finland; Soviet Union; Finnish Democratic Republic; Grand Duchy of Finland,Male,1,83.0
Finland; Soviet Union; Russian Empire,Male,1,57.0
Finland; Sweden,Male,3,55.333333333333336
Finland; United Kingdom,Male,2,69.5
First Portuguese Republic; Estado Novo,Male,1,49.0
Flanders,Male,1,60.0
Flanders; Dutch Republic,Male,1,43.0
Florencia,Female,1,23.0
Former Shu,Male,1,27.0
France,Female,414,53.77536231884058
France,Intersex,1,30.0
France,Male,2140,55.4696261682243
France; Algeria,Female,1,32.0
France; Algeria,Male,4,46.5
France; Argentina,Male,2,75.5
France; Argentina; Peru,Male,1,57.0
France; Austria-Hungary,Male,1,33.0
France; Belarus,Male,1,75.0
France; Brazil,Female,1,47.0
France; Brazil,Male,3,54.0
France; Bulgaria,Male,1,78.0
France; Central African Republic; Central African Empire,Male,1,75.0
France; Chile,Male,1,40.0
France; Comoros,Male,1,70.0
France; Czech Republic,Female,1,45.0
France; Czech Republic,Male,1,48.0
France; Czechoslovakia,Male,1,39.0
France; Duchy of Florence,Male,1,39.0
France; French Third Republic; Second French Empire,Male,1,37.0
France; Gabon,Male,2,69.5
France; Germany,Female,1,36.0
France; Germany,Male,9,61.666666666666664
France; Germany; Soviet Union; Russian Empire,Male,1,55.0
France; Guinea,Male,2,58.0
France; Haiti,Female,1,42.0
France; Haiti,Male,1,44.0
France; Haiti; French First Republic; Kingdom of France (1791-1792); Kingdom of France; Saint-Domingue,Male,1,60.0
France; Iceland,Female,1,55.0
France; Israel,Male,1,28.0
France; Ivory Coast,Male,1,88.0
France; Kingdom of France,Female,2,30.5
France; Kingdom of France,Male,2,39.5
France; Kingdom of Great Britain,Male,1,58.0
France; Kingdom of Hungary,Male,1,91.0
France; Kingdom of Ireland,Male,1,54.0
France; Kingdom of Italy,Male,2,33.5
France; Kingdom of Naples; Grand Duchy of Berg,Male,1,48.0
France; Kingdom of the Netherlands,Male,1,38.0
France; Lebanon,Male,1,70.0
France; Mali,Male,2,47.0
France; Monaco,Male,1,69.0
France; Morocco,Female,1,34.0
France; Morocco,Male,1,78.0
France; Nazi Germany; French Fourth Republic; French Third Republic,Male,1,89.0
France; Ottoman Empire,Male,2,51.5
France; Pakistan; British Raj,Male,1,49.0
France; Peru,Male,1,23.0
France; Polish–Lithuanian Commonwealth,Male,4,49.25
France; Republic of Geneva,Female,1,51.0
France; Republic of Geneva,Male,2,44.0
France; Romania,Male,2,49.5
France; Romania; Austria-Hungary,Male,1,71.0
France; Russia,Female,1,40.0
France; Russian Empire,Female,5,55.4
France; Russian Empire,Male,10,67.0
France; Russian Empire; Polish–Lithuanian Commonwealth,Male,2,60.5
France; Russian Empire; Russian Republic,Male,1,35.0
France; Russian Soviet Federative Socialist Republic; Russian Empire,Male,1,75.0
France; Russian Soviet Federative Socialist Republic; Russian Empire; Russian Republic,Male,1,53.0
France; Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,Male,1,54.0
France; Soviet Union,Male,3,64.0
France; Soviet Union; Russian Empire,Male,1,31.0
France; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,73.0
France; Spaniards,Male,1,77.0
France; Togo,Male,2,63.0
France; Tsardom of Russia,Male,1,40.0
France; Uganda,Male,1,65.0
France; United Kingdom,Female,1,51.0
France; United Kingdom,Male,5,59.8
France; United Kingdom of Great Britain and Ireland,Female,1,56.0
France; United Kingdom of Great Britain and Ireland,Male,2,45.5
France; United Kingdom of the Netherlands,Male,1,68.0
France; Venezuela,Male,1,73.0
France; West Germany,Female,1,44.0
French,Male,1,54.0
French First Republic; Kingdom of France,Male,1,51.0
French Indochina,Male,1,60.0
French Polynesia,Female,1,45.0
French Third Republic; First French Empire; Riograndense Republic; Kingdom of Sardinia; Kingdom of Italy,Male,1,75.0
French Third Republic; Second French Empire,Male,2,46.5
Gabon,Male,4,53.75
Gambia,Female,1,71.0
Georgia,Female,3,50.333333333333336
Georgia,Male,12,51.666666666666664
Georgia; Israel,Male,1,55.0
Georgia; Republic of Abkhazia,Male,1,70.0
Georgia; Russian Empire,Male,1,55.0
Georgia; Russian Empire; Georgian Soviet Socialist Republic,Male,1,40.0
Georgia; Soviet Union,Male,8,57.375
Georgia; Soviet Union; Republic of Abkhazia,Female,1,79.0
German Confederation,Male,1,72.0
German Confederation; Grand Duchy of Baden,Male,1,41.0
German Democratic Republic,Female,1,40.0
German Democratic Republic,Male,16,50.5
German Democratic Republic; Weimar Republic; German Empire; Saar,Male,1,82.0
German Empire,Female,9,35.666666666666664
German Empire,Male,52,39.46153846153846
German Empire; German Confederation,Male,5,55.0
