country,gender,record_count,average_age_of_death
German Empire; North German Confederation; German Confederation,Male,1,49.0
German Reich,Female,1,66.0
German Reich,Male,9,43.888888888888886
Germans,Male,1,52.0
Germany,Female,221,52.90950226244344
Germany,Male,1491,53.42924211938296
Germany; Afghanistan,Female,1,52.0
Germany; Argentina,Male,1,69.0
Germany; Australia,Male,2,62.5
Germany; Austria-Hungary; German Confederation,Male,1,51.0
Germany; Baden,Male,1,54.0
Germany; Bohemia,Male,1,51.0
Germany; Bolivia,Male,2,62.5
Germany; Bulgaria,Male,1,74.0
Germany; Chile; Argentina; Nazi Germany; Weimar Republic,Male,1,89.0
Germany; Czech Republic,Female,1,42.0
Germany; Estonia,Male,2,58.0
Germany; German Democratic Republic,Female,9,59.666666666666664
Germany; German Democratic Republic,Male,45,63.77777777777778
Germany; German Democratic Republic; West Germany,Male,1,60.0
Germany; German Empire,Male,7,56.714285714285715
Germany; German Empire; German Confederation,Female,1,77.0
Germany; German Empire; North German Confederation,Male,1,38.0
Germany; German Reich,Male,1,67.0
Germany; Germany; German Democratic Republic,Male,1,86.0
Germany; Holy Roman Empire,Male,1,70.0
Germany; Indonesia; Kingdom of the Netherlands,Male,1,49.0
Germany; Israel,Female,1,75.0
Germany; Israel,Male,5,77.8
Germany; Kingdom of Bavaria,Male,2,44.0
Germany; Kingdom of Prussia,Male,3,62.333333333333336
Germany; Kingdom of Prussia; German Empire; Kingdom of Hanover,Male,1,53.0
Germany; Kingdom of Prussia; Weimar Republic; German Empire,Male,1,55.0
Germany; Kingdom of Saxony,Male,1,46.0
Germany; Kingdom of Wessex,Male,1,79.0
Germany; Kingdom of the Netherlands,Female,1,84.0
Germany; Kingdom of the Netherlands,Male,3,75.33333333333333
Germany; Lübeck,Male,2,47.0
Germany; Nazi Germany,Female,1,61.0
Germany; Nazi Germany,Male,4,55.0
Germany; Nazi Germany; Austria-Hungary; Czechoslovakia,Male,1,47.0
Germany; Nazi Germany; German Democratic Republic,Male,1,87.0
Germany; Nazi Germany; German Democratic Republic; West Germany,Male,1,56.0
Germany; Nazi Germany; Soviet Union; Russian Empire; Weimar Republic; German Empire,Male,1,49.0
Germany; Nazi Germany; Weimar Republic,Female,2,23.0
Germany; Nazi Germany; Weimar Republic,Male,3,58.0
Germany; Nazi Germany; Weimar Republic; German Empire,Female,2,61.5
Germany; Nazi Germany; Weimar Republic; German Empire,Male,9,59.44444444444444
Germany; Nazi Germany; Weimar Republic; German Empire; West Germany,Male,1,87.0
Germany; Nazi Germany; Weimar Republic; West Germany,Male,1,79.0
Germany; Nazi Germany; West Germany,Female,1,37.0
Germany; Ottoman Empire,Male,2,62.5
Germany; Pakistan; British Raj,Female,1,88.0
Germany; Peru,Female,1,95.0
Germany; Polish–Lithuanian Commonwealth,Male,1,42.0
Germany; Prussia,Female,1,53.0
Germany; Prussia,Male,3,59.0
Germany; Russian Empire,Female,1,48.0
Germany; Russian Empire,Male,1,33.0
Germany; Russian Empire; Prussia,Male,1,73.0
Germany; Soviet Union,Male,2,45.0
Germany; Ukraine,Male,1,86.0
Germany; United Kingdom of Great Britain and Ireland,Female,1,43.0
Germany; West Germany,Male,10,61.6
Ghana,Female,3,67.66666666666667
Ghana,Male,14,61.642857142857146
Ghana; France,Male,1,23.0
Ghana; Gold Coast,Male,1,63.0
Giudicato of Arborea,Male,1,58.0
Grand Duchy of Finland,Male,6,40.166666666666664
Grand Duchy of Hesse,Male,1,50.0
Grand Duchy of Hesse; Russian Empire,Male,1,72.0
Grand Duchy of Lithuania,Female,1,31.0
Grand Duchy of Lithuania,Male,5,45.2
Grand Duchy of Lithuania; Polish–Lithuanian Commonwealth,Male,6,54.0
Grand Duchy of Moscow,Male,3,49.0
Grand Duchy of Tuscany,Male,5,41.2
Grand Duchy of Vladimir,Male,3,40.0
Grand Duchy of Vladimir; Grand Duchy of Moscow,Male,1,44.0
Grand Duchy of Vladimir; Principality of Ryazan; Principality of Dorogobuzh; Principality of Vyshgorod,Male,1,63.0
Grand Duchy of Vladimir; Principality of Tver,Male,1,47.0
Great Britain,Male,1,47.0
Greece,Female,26,56.46153846153846
Greece,Male,125,57.664
Greece; Byzantine Empire,Male,1,77.0
Greece; Egypt; Ottoman Empire,Male,1,70.0
Greece; France,Male,3,67.66666666666667
Greece; France; Romania,Male,1,51.0
Greece; Kingdom of Greece; Second Hellenic Republic; Hellenic State,Female,1,74.0
Greece; Ottoman Empire,Male,6,47.333333333333336
Greece; Republic of Cyprus,Female,1,23.0
Greece; Republic of Cyprus,Male,2,72.0
Greece; Russia; Soviet Union,Male,1,37.0
Greece; Russian Empire,Male,2,60.0
Greece; Turkey,Male,1,70.0
Greece; Yugoslavia,Male,1,43.0
Grenada,Male,5,62.0
Guatemala,Female,8,43.625
Guatemala,Male,31,58.87096774193548
Guatemala; El Salvador,Female,1,94.0
Guatemala; Honduras,Male,1,38.0
Guinea,Male,5,53.6
Guinea-Bissau,Male,5,57.8
Guyana,Female,1,73.0
Guyana,Male,5,51.2
Habsburg Monarchy,Female,1,59.0
Haiti,Female,1,57.0
Haiti,Male,31,56.58064516129032
Han dynasty,Eunuch; Male,1,71.0
Han dynasty,Male,3,41.666666666666664
Hejaz; Rashidun Caliphates,Male,1,82.0
Holy Roman Empire,Male,19,48.31578947368421
Holy Roman Empire; Austrian Empire,Male,1,73.0
Holy Roman Empire; Saxe-Eisenach,Male,1,65.0
Holy See,Male,1,85.0
Honduras,Female,2,34.0
Honduras,Male,31,59.193548387096776
Hong Kong,Female,4,36.75
Hong Kong,Male,4,64.5
Hungary,Female,40,56.2
Hungary,Male,272,53.8235294117647
Hungary; Australia,Male,1,69.0
Hungary; Austria,Male,4,57.0
Hungary; Austria-Hungary,Female,1,38.0
Hungary; Austria-Hungary,Male,4,44.75
Hungary; Austria; Germany,Male,1,43.0
Hungary; Austria; United Kingdom,Male,1,78.0
Hungary; Austrian Empire; Archduchy of Austria,Male,1,69.0
Hungary; Germany,Female,2,75.5
Hungary; Germany,Male,1,63.0
Hungary; Israel,Male,1,51.0
Hungary; Kingdom of Hungary,Male,2,33.5
Hungary; Kingdom of Poland,Female,1,25.0
Hungary; Poland,Female,1,24.0
Hungary; Romania,Male,3,74.66666666666667
Hungary; Slovakia; Austria-Hungary; Czechoslovakia; First Czechoslovak Republic; Slovak State (1939-1945),Male,1,56.0
Hungary; Spain,Male,3,68.0
Hungary; Switzerland,Male,2,54.0
Hungary; Turkey,Male,1,63.0
Hungary; United Kingdom,Male,3,74.33333333333333
Hungary; United Kingdom; United Kingdom of Great Britain and Ireland,Male,3,70.0
Hungary; United States of America,Female,5,71.8
Hungary; United States of America,Male,21,77.23809523809524
Hungary; United States of America; Austria-Hungary,Male,3,63.0
Hungary; United States of America; Germany,Male,2,69.5
Hyderabad State,Male,1,54.0
Iceland,Female,3,57.666666666666664
Iceland,Male,20,57.25
Independent State of Croatia; Kingdom of Yugoslavia,Male,1,31.0
India,Female,17,46.294117647058826
India,Male,77,54.66233766233766
India; British Raj,Female,19,65.0
India; British Raj,Male,150,71.56
India; Pakistan; Bangladesh; British Raj,Male,1,87.0
India; Pakistan; British Raj,Male,1,60.0
India; Qatar; British Raj,Male,1,96.0
Indians,Male,1,73.0
Indonesia,Female,4,44.5
Indonesia,Male,17,65.29411764705883
Indonesia; Dutch East Indies,Male,1,25.0
Indonesia; Kingdom of the Netherlands,Female,1,67.0
Indonesia; Malaysia,Male,1,87.0
Iran,Female,9,44.55555555555556
Iran,Male,121,57.082644628099175
Iran; Iraq,Male,2,57.5
Iraq,Female,3,35.0
Iraq,Male,39,58.69230769230769
Iraq; Kingdom of Iraq,Male,1,76.0
Iraq; Kingdom of the Netherlands,Male,1,41.0
Iraq; Lebanon,Female,1,61.0
Iraq; Ottoman Empire,Male,1,55.0
Iraq; United Arab Emirates; Kingdom of Iraq; Republic of Iraq (1958–68),Male,1,96.0
Iraq; statelessness,Male,1,48.0
Ireland,Female,38,61.44736842105263
Ireland,Male,191,53.13089005235602
Ireland; Australia,Female,1,45.0
Ireland; Australia,Male,1,50.0
Ireland; Austria; Germany; Nazi Germany; Austria-Hungary,Male,1,74.0
Ireland; France,Male,1,59.0
Ireland; Irish Free State,Male,3,73.33333333333333
Ireland; Irish Free State; Irish Republic,Male,1,43.0
Ireland; Irish Free State; United Kingdom of Great Britain and Ireland,Male,2,71.0
Ireland; Irish Republic,Male,1,50.0
Ireland; South Africa,Male,1,83.0
Ireland; Spain,Male,1,43.0
Ireland; United Kingdom,Female,1,80.0
Ireland; United Kingdom,Male,6,68.16666666666667
Ireland; United Kingdom of Great Britain and Ireland,Female,2,76.5
Ireland; United Kingdom of Great Britain and Ireland,Male,5,58.0
Ireland; United Kingdom of Great Britain and Ireland; Irish Republic,Male,1,41.0
Ireland; United Kingdom; United Kingdom of Great Britain and Ireland,Male,3,73.66666666666667
Ireland; United States of America,Female,6,82.83333333333333
Ireland; United States of America,Male,18,56.888888888888886
Ireland; United States of America; United Kingdom,Male,1,75.0
Irish Free State,Male,1,39.0
Irish Free State; United Kingdom of Great Britain and Ireland,Male,1,64.0
Irish Free State; United Kingdom of Great Britain and Ireland; Irish Republic,Male,1,86.0
Irish Republic,Male,1,37.0
Isle of Man; Kingdom of England,Male,1,43.0
Israel,Female,18,64.88888888888889
Israel,Male,121,63.84297520661157
Israel; Austria-Hungary; Czechoslovakia,Male,1,68.0
Israel; Israelis,Male,1,81.0
Israel; Kingdom of Hungary,Male,1,90.0
Israel; Mandatory Palestine,Male,1,86.0
Israel; Palestine,Male,1,74.0
Israel; Russian Empire; Mandatory Palestine,Female,1,80.0
Israel; Russian Empire; Mandatory Palestine,Male,1,44.0
Israel; Soviet Union,Female,1,45.0
Israel; Soviet Union,Male,2,54.0
Israel; State of Palestine,Male,1,40.0
Italian Social Republic; Kingdom of Italy,Male,2,51.5
Italians,Male,1,68.0
Italy,Female,35,46.34285714285714
Italy,Male,175,46.49142857142857
Italy; Brazil; Kingdom of Italy,Male,4,76.25
Italy; Egypt; France,Male,1,33.0
Italy; Egypt; France; Kingdom of Italy,Male,1,64.0
Italy; Eritrea; Kingdom of Italy,Male,1,69.0
Italy; France; Argentina; Kingdom of Italy,Male,1,57.0
Italy; France; Kingdom of Italy,Female,1,67.0
Italy; France; Kingdom of Italy,Male,5,71.8
Italy; Germany; Kingdom of Italy,Female,1,75.0
Italy; Greece; Kingdom of Italy,Male,1,64.0
Italy; Israel; Kingdom of Italy,Male,1,69.0
Italy; Kingdom of Italy,Female,71,67.28169014084507
Italy; Kingdom of Italy,Male,474,64.35654008438819
Italy; Kingdom of Italy; Kingdom of Italy,Male,1,53.0
Italy; Kingdom of Italy; Kingdom of Yugoslavia,Female,1,61.0
Italy; Portugal; Kingdom of Italy,Male,1,69.0
Italy; Russian Empire; Kingdom of Italy,Male,1,58.0
Italy; Slovenia; Argentina; Kingdom of Italy,Male,1,68.0
Italy; Slovenia; Kingdom of Italy,Male,1,55.0
Italy; Slovenia; Socialist Federal Republic of Yugoslavia; Kingdom of Italy; Free Territory of Trieste,Male,1,94.0
Italy; Somalia,Female,2,42.5
Italy; Soviet Union; Russian Empire,Female,1,82.0
Italy; Switzerland; Kingdom of Italy,Male,2,81.5
Italy; Uruguay; Kingdom of Italy,Male,1,89.0
Italy; Vatican City; Kingdom of Italy,Male,2,81.5
Ivory Coast,Female,1,49.0
Ivory Coast,Male,9,41.44444444444444
Jamaica,Female,9,67.55555555555556
Jamaica,Male,69,58.85507246376812
Japan,Female,117,54.70940170940171
Japan,Male,879,60.69283276450512
Japan; Ashikaga shogunate,Male,1,28.0
Japan; China,Female,1,19.0
Japan; Empire of Japan,Male,6,55.5
Japan; France,Male,1,82.0
Japan; Ireland; Greece,Male,1,54.0
Japan; Joseon; Korean Empire,Male,1,53.0
Japan; North Korea,Female,1,52.0
Japan; People's Republic of China,Male,1,54.0
Japan; Republic of China (1912–1949),Male,1,81.0
Japan; Russia; Soviet Union,Female,1,45.0
Japan; South Korea,Male,3,77.0
Japan; South Korea; Korean Empire; Empire of Japan,Female,1,88.0
Japan; Taiwan,Male,2,66.5
Japan; Tokugawa Shogunate,Male,3,53.666666666666664
Japan; Tokugawa Shogunate; Ashikaga shogunate,Male,1,20.0
Japan; United States of America,Female,2,74.5
Japan; United States of America,Male,7,81.14285714285714
Jersey,Male,1,37.0
Jin dynasty,Male,5,40.8
Jordan,Male,12,62.416666666666664
Jordan; Ottoman Empire; Kingdom of Hejaz; Transjordan,Male,1,69.0
Joseon,Female,1,47.0
Joseon,Male,10,52.8
Joseon; Korean Empire,Male,2,62.0
July Monarchy; French Second Republic; French Third Republic; Second French Empire,Male,1,52.0
Kazakhstan,Male,5,37.6
Kazakhstan; Soviet Union,Female,2,55.0
Kazakhstan; Soviet Union,Male,4,56.0
Kenya,Female,7,53.857142857142854
Kenya,Male,22,54.13636363636363
Kenya; India; British Raj,Male,1,38.0
Khedivate of Egypt; Sultanate of Darfur; Mahdist Sudan,Male,1,41.0
Kingdom of Aragon,Male,1,23.0
Kingdom of Asturias,Male,1,51.0
Kingdom of Asturias; Kingdom of Galicia,Male,1,45.0
Kingdom of Bavaria,Male,3,49.0
Kingdom of Bohemia,Male,2,55.5
Kingdom of Bohemia; Archduchy of Austria,Male,1,73.0
Kingdom of Castile,Male,3,31.666666666666668
Kingdom of Castile; Kingdom of Aragon,Male,1,19.0
"Kingdom of Croatia-Slavonia; Kingdom of Serbs, Croats and Slovenes",Male,1,57.0
Kingdom of England,Female,19,40.36842105263158
Kingdom of England,Male,126,43.801587301587304
Kingdom of England; British North America,Male,1,63.0
Kingdom of England; Kingdom of Scotland,Male,1,18.0
Kingdom of France,Female,4,44.0
Kingdom of France,Male,13,51.38461538461539
Kingdom of France; First French Empire,Male,1,42.0
Kingdom of France; Grand Duchy of Tuscany,Male,1,55.0
Kingdom of France; Kingdom of Navarre,Male,2,49.5
Kingdom of Georgia,Male,1,42.0
Kingdom of Great Britain,Female,13,38.15384615384615
Kingdom of Great Britain,Male,84,46.0
Kingdom of Great Britain; Kingdom of England,Female,1,73.0
Kingdom of Great Britain; Kingdom of England,Male,5,53.8
Kingdom of Great Britain; Kingdom of Hanover,Male,1,67.0
Kingdom of Great Britain; Kingdom of Hanover; United Kingdom of Great Britain and Ireland,Male,1,72.0
Kingdom of Great Britain; Kingdom of Scotland,Male,2,67.0
Kingdom of Great Britain; Polish–Lithuanian Commonwealth,Male,1,51.0
Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Female,7,52.714285714285715
Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Male,97,56.23711340206186
Kingdom of Great Britain; United Kingdom of Great Britain and Ireland; Kingdom of Ireland,Male,1,54.0
Kingdom of Greece,Male,1,42.0
Kingdom of Greece; Second Hellenic Republic,Male,1,67.0
Kingdom of Hawaiʻi,Female,1,49.0
Kingdom of Hawaiʻi,Male,7,41.285714285714285
Kingdom of Hungary,Male,3,48.0
Kingdom of Hungary in the Middle Ages,Male,1,49.0
Kingdom of Iraq,Male,1,37.0
Kingdom of Ireland,Male,4,42.75
Kingdom of Ireland; Commonwealth of England,Male,1,50.0
Kingdom of Italy,Female,49,49.16326530612245
Kingdom of Italy,Male,204,51.10294117647059
Kingdom of Italy; Kingdom of Lombardy–Venetia; Kingdom of Italy; Kingdom of Sardinia,Female,1,65.0
Kingdom of Italy; Kingdom of the Two Sicilies,Male,2,66.5
Kingdom of Italy; United Kingdom of Great Britain and Ireland,Male,1,68.0
Kingdom of Jerusalem,Male,7,34.0
Kingdom of León,Male,1,34.0
Kingdom of Naples,Male,7,44.57142857142857
Kingdom of Navarre,Male,4,58.0
Kingdom of Northumbria,Male,3,37.0
Kingdom of Pamplona,Male,1,27.0
Kingdom of Poland,Male,1,70.0
Kingdom of Pontus,Male,1,71.0
Kingdom of Portugal,Male,1,41.0
Kingdom of Portugal; Empire of Brazil,Male,1,36.0
Kingdom of Prussia,Female,2,58.0
Kingdom of Prussia,Male,10,49.1
Kingdom of Prussia; German Empire,Female,1,67.0
Kingdom of Prussia; German Empire,Male,3,68.0
Kingdom of Prussia; German Empire; United Kingdom of Great Britain and Ireland,Female,1,61.0
Kingdom of Prussia; Prussia; German Empire,Male,1,83.0
Kingdom of Prussia; Russian Empire,Male,1,54.0
Kingdom of Prussia; Weimar Republic,Male,1,56.0
Kingdom of Romania,Female,1,47.0
Kingdom of Romania,Male,5,73.2
Kingdom of Romania; Socialist Republic of Romania,Male,1,71.0
Kingdom of Romania; Socialist Republic of Romania; Romanian People's Republic,Male,1,90.0
Kingdom of Sardinia,Male,2,39.0
Kingdom of Sardinia; Kingdom of Italy,Male,2,68.5
Kingdom of Saxony,Male,2,45.0
Kingdom of Scotland,Female,1,45.0
Kingdom of Scotland,Male,19,42.05263157894737
Kingdom of Serbia,Female,1,36.0
Kingdom of Serbia,Male,2,41.0
Kingdom of Serbia; Principality of Serbia,Female,1,42.0
Kingdom of Serbia; Principality of Serbia,Male,3,37.0
Kingdom of Sicily,Female,1,38.0
Kingdom of Sicily,Male,1,59.0
Kingdom of Wessex; Kingdom of England,Male,1,25.0
Kingdom of Yugoslavia,Female,3,36.333333333333336
Kingdom of Yugoslavia,Male,5,36.2
"Kingdom of Yugoslavia; Kingdom of Montenegro; Kingdom of Serbs, Croats and Slovenes",Male,1,61.0
Kingdom of Yugoslavia; Kingdom of Serbia,Male,1,46.0
Kingdom of Yugoslavia; Kingdom of Serbia; Principality of Serbia,Male,1,68.0
Kingdom of the Netherlands,Female,49,57.57142857142857
Kingdom of the Netherlands,Male,326,57.515337423312886
Kingdom of the Netherlands; Weimar Republic,Female,1,19.0
Kingdom of the Netherlands; Weimar Republic; German Empire,Male,1,93.0
Kingdom of the Two Sicilies,Male,1,39.0
Kiribati,Male,1,26.0
Kition,Male,1,71.0
Korea,Male,2,29.5
Korean Empire,Female,1,29.0
Korean Empire; Empire of Japan,Female,1,32.0
Korean Empire; Empire of Japan,Male,2,45.0
Kosovo,Male,3,53.0
Kosovo; Socialist Federal Republic of Yugoslavia,Male,1,70.0
Kuwait,Male,2,52.0
Kyivska Rus',Male,3,40.333333333333336
Kyrgyzstan; Soviet Union,Male,1,80.0
Laos,Male,1,82.0
Later Han dynasty,Male,1,20.0
Later Liang dynasty,Male,3,40.0
Later Liang dynasty; Later Tang Dynasty,Female,1,36.0
Later Tang Dynasty,Male,2,36.0
Later Yan,Male,1,43.0
Later Zhao,Male,1,21.0
Latvia,Female,1,23.0
Latvia,Male,40,47.95
Latvia; Nazi Germany; Soviet Union; Russian Empire; Russian Republic,Male,1,92.0
Latvia; Russian Empire,Male,3,40.666666666666664
Latvia; Soviet Union,Male,5,64.8
Latvia; Soviet Union; Russian Empire,Male,4,49.75
Lebanon,Female,7,52.714285714285715
Lebanon,Male,40,60.175
Lebanon; Greater Lebanon,Male,1,99.0
Lebanon; Mandatory Palestine,Male,1,20.0
Lebanon; Syria,Male,1,70.0
Lesotho,Male,1,73.0
Liao dynasty,Male,3,36.0
Liberia,Female,1,45.0
Liberia,Male,7,46.57142857142857
Libya,Male,10,58.7
Liechtenstein,Male,1,54.0
Lithuania,Female,1,46.0
Lithuania,Male,24,53.416666666666664
Lithuania; France,Male,1,62.0
Lithuania; Russia; Israel; Soviet Union,Male,1,62.0
Lithuania; Russian Empire,Male,4,53.75
Lithuania; Soviet Union,Female,3,26.0
Lithuania; Soviet Union,Male,7,67.0
Lithuania; United Kingdom,Male,1,45.0
Liu Song dynasty,Male,1,27.0
Lordship of Bologna,Male,2,34.5
Low Countries,Male,1,44.0
Lu,Male,1,73.0
Luhansk People's Republic,Male,1,43.0
Luxembourg,Female,1,49.0
Luxembourg,Male,12,56.666666666666664
Luxembourg; France,Male,1,55.0
Macedonia,Female,2,54.0
Macedonia,Male,8,59.75
Macedonia; Seleucid Empire,Male,1,77.0
Madagascar,Male,4,56.5
Malawi,Female,2,75.5
Malawi,Male,2,55.0
Malaysia,Female,5,49.2
Malaysia,Male,43,66.93023255813954
Maldives,Male,1,30.0
Male," Austria""",1,
Mali,Male,3,63.666666666666664
Malta,Female,2,52.5
Malta,Male,5,66.8
Malta; Kingdom of Italy,Male,1,27.0
Mandatory Palestine,Male,2,22.0
Mandatory Palestine; State of Palestine,Male,1,82.0
March of Ancona,Male,1,83.0
Marshall Islands,Male,2,67.0
Mauritania,Male,3,61.666666666666664
Mauritius,Female,1,36.0
Mauritius,Male,1,63.0
Mexicans,Male,1,71.0
Mexico,Female,77,60.09090909090909
Mexico,Male,342,55.728070175438596
Mexico,Transgender Female,1,29.0
Mexico; Argentina,Female,1,60.0
Mexico; Argentina,Male,2,66.5
Mexico; Cuba,Female,3,78.0
Mexico; Cuba,Male,3,63.0
Mexico; France,Male,1,26.0
Mexico; Russia,Male,1,85.0
Mexico; Russia; Soviet Union,Female,1,44.0
Mexico; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Male,1,61.0
Mexico; United Kingdom; United Kingdom of Great Britain and Ireland,Female,1,95.0
Mexico; Viceroyalty of New Spain,Female,1,44.0
Mexico; Viceroyalty of New Spain,Male,1,50.0
Ming dynasty,Eunuch; Male,1,59.0
Ming dynasty,Male,19,54.578947368421055
Ming dynasty; China,Male,7,56.285714285714285
Ming dynasty; County of Flanders,Male,1,65.0
Ming dynasty; Shun Dynasty,Male,1,39.0
Moldova,Female,1,39.0
Moldova,Male,5,54.0
Moldova; Soviet Union,Male,1,63.0
Moldova; Soviet Union; Kingdom of Romania,Female,1,77.0
Monaco,Female,1,77.0
Monaco,Male,2,76.5
Montenegro,Female,1,79.0
Montenegro,Male,7,42.285714285714285
Morocco,Female,1,25.0
Morocco,Male,33,55.81818181818182
Mozambique,Female,1,26.0
Mozambique,Male,5,56.2
Mughal Empire,Male,2,55.5
Mutawakkilite Kingdom of Yemen,Male,1,79.0
Myanmar,Female,1,48.0
Myanmar,Male,1,53.0
México,Male,1,43.0
Namibia,Female,1,66.0
Namibia,Male,13,58.30769230769231
Nauru,Male,4,56.5
Nazi Germany,Female,2,20.5
Nazi Germany,Male,6,51.5
Nazi Germany; Austria-Hungary,Male,1,36.0
Nazi Germany; Austria-Hungary; Austrian Empire; First Czechoslovak Republic; Second Czechoslovak Republic,Male,1,79.0
Nazi Germany; Austria-Hungary; Federal State of Austria; Republic of German-Austria; First Republic of Austria,Male,1,83.0
Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria,Male,1,56.0
Nazi Germany; German Democratic Republic; Weimar Republic; German Empire,Male,1,67.0
Nazi Germany; German Empire,Male,12,44.166666666666664
Nazi Germany; German Empire; West Germany,Male,5,70.2
Nazi Germany; Kingdom of Prussia; Weimar Republic,Female,1,30.0
Nazi Germany; Kingdom of Prussia; Weimar Republic,Male,1,57.0
Nazi Germany; Kingdom of Romania; West Germany,Male,1,69.0
Nazi Germany; Prussia; Weimar Republic; German Empire,Male,1,76.0
Nazi Germany; Russian Empire; Don Republic,Male,1,78.0
Nazi Germany; Russian Empire; Weimar Republic,Male,1,53.0
Nazi Germany; Russian Empire; Weimar Republic; West Germany,Female,1,50.0
Nazi Germany; Second Polish Republic; People's Republic of Poland,Male,1,31.0
Nazi Germany; Soviet Union; German Democratic Republic; Weimar Republic,Male,1,57.0
Nazi Germany; Weimar Republic,Female,3,23.666666666666668
Nazi Germany; Weimar Republic,Male,5,30.4
Nazi Germany; Weimar Republic; German Empire,Female,1,33.0
Nazi Germany; Weimar Republic; German Empire,Male,24,48.833333333333336
Nazi Germany; Weimar Republic; German Empire; Bizone,Male,1,89.0
Nazi Germany; Weimar Republic; German Empire; West Germany,Female,1,66.0
Nazi Germany; Weimar Republic; German Empire; West Germany,Male,1,75.0
Nepal,Female,3,36.333333333333336
Nepal,Male,7,58.142857142857146
Nepal; Mustang,Male,1,86.0
Netherlands,Female,3,37.0
Netherlands,Male,42,49.92857142857143
Netherlands; France,Male,1,56.0
Netherlands; Germany,Male,1,24.0
Netherlands; Kingdom of England,Male,1,52.0
Netherlands; Kingdom of Great Britain,Male,1,22.0
Netherlands; Kingdom of the Netherlands,Male,1,89.0
Netherlands; United Kingdom,Female,1,29.0
New France,Female,1,30.0
New Zealand,Female,38,60.21052631578947
New Zealand,Male,235,59.00425531914894
New Zealand,Transgender Female,1,75.0
New Zealand; Jordan,Male,1,34.0
New Zealand; Kingdom of Great Britain; United Kingdom of Great Britain and Ireland,Male,1,67.0
New Zealand; Samoa,Male,1,54.0
New Zealand; United Kingdom of Great Britain and Ireland,Male,2,47.0
Nicaragua,Female,7,52.285714285714285
Nicaragua,Male,20,59.5
Niger,Male,3,56.0
Nigeria,Female,6,60.833333333333336
Nigeria,Male,41,54.80487804878049
North Korea,Female,1,95.0
North Korea,Male,16,71.9375
North Korea; Empire of Japan,Male,1,82.0
North Korea; Korean Empire; Empire of Japan,Male,1,55.0
North Korea; Soviet Union,Male,1,61.0
North Korea; Soviet Union; Korea under Japanese rule,Male,1,83.0
North Korea; Soviet Union; Russian Empire,Male,1,45.0
North Macedonia,Male,8,45.25
North Sea Empire,Female,1,18.0
Northern Ireland,Female,1,57.0
